Unnamed: 0,Rk,Date,Comp,Round,Venue,Scorer,Opponent,Start,xG,PSxG,Body Part,Distance,Minute,Score,Goalkeeper,Assist,GCA1,Type,GCA2,Type.1,Notes,Scorer-p,GCA1-p,GCA2-p
1,2,2023-09-24,La Liga,Matchweek 6,Home,Kirian Rodríguez,Granada,Y,0.03,0.34,Left Foot,23.0,90+2,0-0,André Ferreira,Sory Kaba,Sory Kaba,Pass (Live),Sergi Cardona,Pass (Live),,MF,ST,LB
2,3,2023-10-02,La Liga,Matchweek 8,Home,Jonathan Viera,Celta Vigo,N,0.79,1.0,Right Foot,13.0,84,0-1,Iván Villar,,Marc Cardona,Fouled,Marvin,Pass (Live),,CAM,ST,RW
3,4,2023-10-02,La Liga,Matchweek 8,Home,Marc Cardona,Celta Vigo,N,0.26,0.05,Right Foot,13.0,90+7,1-1,Iván Villar,Jonathan Viera,Jonathan Viera,Pass (Live),Kirian Rodríguez,Pass (Live),Volley,ST,CAM,MF
4,5,2023-10-08,La Liga,Matchweek 9,Away,Saúl Coco,Villarreal,Y,0.03,0.4,Right Foot,35.0,45+2,0-0,Filip Jørgensen,,Sergi Cardona,Fouled,Álvaro Vallés,Pass (Live),,CB,LB,GK
6,7,2023-10-28,La Liga,Matchweek 11,Away,Munir El Haddadi,Almería,Y,0.35,0.91,Left Foot,6.0,23,0-0,Fernando,Marvin,Marvin,Pass (Live),Marvin,Take-On,Volley,RW,RW,RW
7,8,2023-10-28,La Liga,Matchweek 11,Away,Sory Kaba,Almería,N,0.09,0.51,Right Foot,17.0,90+4,1-1,Fernando,,Álex Suárez,Pass (Live),Javier Muñoz,Pass (Live),,ST,CB,MF
8,9,2023-10-31,Copa del Rey,First round,Away,Julian Araujo,Manacor,Y,,,,,68,0-0,Elias Ramírez,Cristian Herrera,Cristian Herrera,,,,,RB,ST,
9,10,2023-10-31,Copa del Rey,First round,Away,Alberto Moleiro,Manacor,N,,,,,76,1-0,Elias Ramírez,Pau Ferrer,Pau Ferrer,,,,,CAM,ST,
10,11,2023-10-31,Copa del Rey,First round,Away,Pau Ferrer,Manacor,N,,,,,86,2-0,Elias Ramírez,Cristian Herrera,Cristian Herrera,,,,,ST,ST,
11,12,2023-11-03,La Liga,Matchweek 12,Home,Kirian Rodríguez,Atlético Madrid,Y*,0.03,0.14,Right Foot,25.0,51,0-0,Jan Oblak,Alberto Moleiro,Alberto Moleiro,Pass (Live),Sergi Cardona,Pass (Live),,MF,CAM,LB
12,13,2023-11-03,La Liga,Matchweek 12,Home,Benito Ramírez,Atlético Madrid,N,0.04,0.09,Left Foot,15.0,75,1-0,Jan Oblak,Munir El Haddadi,Munir El Haddadi,Pass (Live),Javier Muñoz,Interception,,LW,RW,MF
13,14,2023-11-11,La Liga,Matchweek 13,Away,Alberto Moleiro,Osasuna,N,0.07,0.51,Right Foot,21.0,70,0-0,Sergio Herrera,Javier Muñoz,Javier Muñoz,Pass (Live),Munir El Haddadi,Pass (Live),,CAM,MF,RW
14,15,2023-12-01,La Liga,Matchweek 15,Home,Julian Araujo,Getafe,Y,0.31,0.27,Head,8.0,43,0-0,David Soria,Kirian Rodríguez,Kirian Rodríguez,Pass (Live),Julian Araujo,Pass (Live),,RB,MF,RB
15,16,2023-12-01,La Liga,Matchweek 15,Home,Cristian Herrera,Getafe,N,0.87,0.87,Left Foot,4.0,90+2,1-0,David Soria,Marvin,Marvin,Pass (Live),Javier Muñoz,Pass (Live),,ST,RW,MF
16,17,2023-12-06,Copa del Rey,Second round,Away,Sory Kaba,Tudelano,Y,,,,,38,0-0,Pablo García,Marc Cardona,Marc Cardona,,,,,ST,ST,
17,18,2023-12-06,Copa del Rey,Second round,Away,Munir El Haddadi,Tudelano,N,,,,,120+4,1-1,Pablo García,Alberto Moleiro,Alberto Moleiro,,,,,RW,CAM,
18,19,2023-12-09,La Liga,Matchweek 16,Away,Kirian Rodríguez,Alavés,Y*,0.06,0.32,Right Foot,23.0,31,0-0,Antonio Sivera,Alberto Moleiro,Alberto Moleiro,Pass (Live),Munir El Haddadi,Pass (Live),,MF,CAM,RW
20,21,2024-01-04,La Liga,Matchweek 19,Home,Munir El Haddadi,Barcelona,Y,0.22,0.92,Left Foot,8.0,12,0-0,Iñaki Peña,Sandro Ramírez,Sandro Ramírez,Pass (Live),Javier Muñoz,Pass (Live),,RW,ST,MF
21,22,2024-01-13,La Liga,Matchweek 20,Home,Kirian Rodríguez,Villarreal,Y*,0.08,0.31,Right Foot,16.0,8,0-0,Filip Jørgensen,Alberto Moleiro,Alberto Moleiro,Pass (Live),Kirian Rodríguez,Pass (Live),,MF,CAM,MF
